route_date_key,date,year,month,quarter,day_of_week,region,bu,area,route_id,primary_waste_stream,primary_customer_segment,num_drivers,num_trucks,total_stops,completed_stops,missed_stops,total_distance_km,total_fuel_used_litres,total_labour_hours,total_yards,total_tonnes,avg_revenue_per_stop,total_revenue,disposal_cost,fuel_cost,labour_cost,maintenance_cost,admin_cost,total_cost,net_revenue,gross_profit,gross_margin_pct,scheduled_hours,actual_hours,delay_minutes,on_time_flag,incident_flag,incident_type
RDK-0000001,2022-11-12,2022,11,Q4,Saturday,Atlantic,Atlantic BU,Moncton,RTE-0016,Recycling,Restaurant & Food Service,1,1,138,136,2,202.0,99.5,15.07,222.1,21.91,54.41,7399.12,831.06,160.17,534.24,52.06,348.18,1925.71,6568.06,5473.41,73.97,15.86,16.19,20,0,0,None
RDK-0000002,2024-12-23,2024,12,Q4,Monday,Prairies,Prairies BU,Regina,RTE-0047,Organics,Office & Commercial,1,1,119,119,0,232.8,140.2,14.77,222.2,57.23,38.19,4544.05,3851.13,229.28,736.91,93.06,120.12,5030.5,692.92,-486.45,-10.71,14.62,14.62,0,1,0,None
RDK-0000003,2022-07-23,2022,7,Q3,Saturday,Atlantic,Atlantic BU,Moncton,RTE-0056,General Waste,Healthcare,1,1,128,126,2,303.0,166.3,17.58,242.0,43.96,58.16,7328.24,3638.71,258.2,732.17,77.0,226.19,4932.27,3689.53,2395.97,32.7,18.24,18.24,0,1,0,None
RDK-0000004,2023-06-09,2023,6,Q2,Friday,Prairies,Prairies BU,Regina,RTE-0019,Recycling,Retail,1,1,179,174,5,297.4,180.7,21.56,340.5,31.43,50.01,8701.46,885.53,336.0,987.58,69.86,492.93,2771.9,7815.93,5929.56,68.14,23.71,24.44,44,0,0,None
RDK-0000005,2023-01-19,2023,1,Q1,Thursday,BC,BC BU,Burnaby,RTE-0054,General Waste,Industrial,1,1,114,113,1,212.2,103.7,15.61,187.1,32.85,102.45,11576.95,2360.96,190.51,807.58,81.37,520.46,3960.88,9215.99,7616.07,65.79,15.51,16.23,43,0,0,None
RDK-0000006,2022-11-19,2022,11,Q4,Saturday,BC,BC BU,Vancouver,RTE-0109,Recycling,Office & Commercial,1,1,174,174,0,296.9,158.4,20.42,294.3,29.71,60.38,10506.9,865.38,228.98,1049.95,61.74,282.55,2488.6,9641.52,8018.3,76.31,20.92,21.07,9,1,0,None
RDK-0000007,2023-01-26,2023,1,Q1,Thursday,Quebec,Quebec BU,Montreal,RTE-0015,Organics,Retail,1,1,126,124,2,249.1,149.8,22.29,221.3,55.93,56.11,6957.17,2887.73,253.24,912.06,109.95,379.34,4542.32,4069.44,2414.85,34.71,23.08,23.51,26,0,0,None
RDK-0000008,2024-10-26,2024,10,Q4,Saturday,Quebec,Quebec BU,Longueuil,RTE-0052,General Waste,Healthcare,1,1,156,149,7,268.3,139.7,18.97,289.3,51.56,67.95,10124.95,3455.22,257.89,809.13,82.12,569.17,5173.53,6669.73,4951.42,48.9,20.3,20.4,6,1,0,None
RDK-0000009,2023-11-13,2023,11,Q4,Monday,Alberta,Calgary BU,Airdrie,RTE-0117,General Waste,Office & Commercial,1,1,154,154,0,248.6,122.1,18.75,281.0,47.87,37.87,5832.36,4456.0,194.09,731.77,79.73,256.08,5717.67,1376.36,114.69,1.97,18.12,18.85,44,0,0,None
RDK-0000010,2023-10-11,2023,10,Q4,Wednesday,Quebec,Quebec BU,Longueuil,RTE-0050,General Waste,Industrial,1,1,109,106,3,210.0,139.5,14.9,198.5,34.17,88.05,9333.1,2812.21,198.57,671.27,83.2,236.29,4001.54,6520.89,5331.56,57.13,15.61,16.69,65,0,0,None
