route_id,cohort_key,median_margin_pct,cohort_median_margin,pct_days_below_peer,loss_day_rate,tier,tier_code
RTE-0006,Cardboard | Restaurant & Food Service,75.67,78.49,0.796,0.0,Tier 2 - Margin leak,2
RTE-0020,General Waste | Retail,10.38,27.09,0.861,0.267,Tier 2 - Margin leak,2
RTE-0024,General Waste | Restaurant & Food Service,36.39,43.55,0.764,0.009,Tier 2 - Margin leak,2
RTE-0032,General Waste | Hospitality,17.84,31.48,0.845,0.155,Tier 2 - Margin leak,2
RTE-0034,General Waste | Industrial,38.39,48.24,0.762,0.0,Tier 2 - Margin leak,2
RTE-0041,General Waste | Restaurant & Food Service,36.75,43.55,0.723,0.021,Tier 2 - Margin leak,2
RTE-0052,General Waste | Healthcare,37.45,51.69,0.932,0.025,Tier 2 - Margin leak,2
RTE-0068,General Waste | Industrial,17.24,48.24,0.991,0.179,Tier 2 - Margin leak,2
RTE-0069,General Waste | Retail,13.8,27.09,0.722,0.267,Tier 2 - Margin leak,2
RTE-0070,General Waste | Retail,9.73,27.09,0.881,0.277,Tier 2 - Margin leak,2
RTE-0081,General Waste | Office & Commercial,6.81,17.51,0.732,0.304,Tier 2 - Margin leak,2
RTE-0090,General Waste | Restaurant & Food Service,36.31,43.55,0.717,0.02,Tier 2 - Margin leak,2
RTE-0096,Recycling | Retail,63.34,68.42,0.788,0.0,Tier 2 - Margin leak,2
RTE-0097,General Waste | Restaurant & Food Service,37.82,43.55,0.716,0.011,Tier 2 - Margin leak,2
RTE-0108,Recycling | Hospitality,71.52,75.58,0.804,0.0,Tier 2 - Margin leak,2
RTE-0112,Recycling | Retail,62.86,68.42,0.743,0.0,Tier 2 - Margin leak,2
RTE-0116,General Waste | Industrial,39.36,48.24,0.866,0.041,Tier 2 - Margin leak,2
RTE-0117,General Waste | Office & Commercial,6.18,17.51,0.739,0.304,Tier 2 - Margin leak,2
RTE-0035,General Waste | Office & Commercial,-10.61,17.51,0.963,0.776,Tier 1 - Loss-making,1
RTE-0059,General Waste | Office & Commercial,-2.05,17.51,0.802,0.523,Tier 1 - Loss-making,1
RTE-0061,General Waste | Retail,-5.48,27.09,0.98,0.584,Tier 1 - Loss-making,1
RTE-0114,General Waste | Retail,-14.77,27.09,0.991,0.75,Tier 1 - Loss-making,1
RTE-0001,General Waste | Retail,40.46,27.09,0.188,0.009,OK,0
RTE-0002,General Waste | Retail,40.31,27.09,0.225,0.056,OK,0
RTE-0003,General Waste | Office & Commercial,14.62,17.51,0.545,0.193,OK,0
RTE-0004,General Waste | Industrial,48.4,48.24,0.495,0.0,OK,0
RTE-0005,General Waste | Hospitality,32.97,31.48,0.45,0.018,OK,0
RTE-0007,Recycling | Healthcare,79.57,79.57,0.494,0.0,OK,0
RTE-0008,General Waste | Restaurant & Food Service,44.13,43.55,0.422,0.0,OK,0
RTE-0009,General Waste | Retail,40.14,27.09,0.155,0.009,OK,0
RTE-0010,General Waste | Restaurant & Food Service,37.99,43.55,0.679,0.012,OK,0
RTE-0011,Organics | Healthcare,54.3,52.16,0.413,0.011,OK,0
RTE-0012,General Waste | Industrial,49.29,48.24,0.393,0.0,OK,0
RTE-0013,General Waste | Industrial,44.7,48.24,0.696,0.0,OK,0
RTE-0014,General Waste | Industrial,48.62,48.24,0.471,0.0,OK,0
RTE-0015,Organics | Retail,33.29,34.06,0.5,0.01,OK,0
RTE-0016,Recycling | Restaurant & Food Service,77.58,74.57,0.313,0.0,OK,0
RTE-0017,Recycling | Restaurant & Food Service,73.85,74.57,0.622,0.0,OK,0
RTE-0018,General Waste | Retail,36.84,27.09,0.298,0.012,OK,0
RTE-0019,Recycling | Retail,69.21,68.42,0.472,0.0,OK,0
RTE-0021,General Waste | Office & Commercial,31.73,17.51,0.206,0.039,OK,0
RTE-0022,Cardboard | Retail,76.68,75.31,0.377,0.0,OK,0
RTE-0023,Recycling | Restaurant & Food Service,73.06,74.57,0.632,0.0,OK,0
RTE-0025,General Waste | Healthcare,54.57,51.69,0.366,0.008,OK,0
RTE-0026,General Waste | Office & Commercial,23.11,17.51,0.382,0.202,OK,0
RTE-0027,Recycling | Hospitality,75.03,75.58,0.525,0.0,OK,0
RTE-0028,General Waste | Healthcare,56.95,51.69,0.225,0.0,OK,0
RTE-0029,Recycling | Hospitality,76.07,75.58,0.436,0.0,OK,0
RTE-0030,General Waste | Restaurant & Food Service,47.21,43.55,0.367,0.0,OK,0
RTE-0031,General Waste | Industrial,57.06,48.24,0.169,0.0,OK,0
RTE-0033,Cardboard | Retail,75.31,75.31,0.495,0.0,OK,0
RTE-0036,General Waste | Retail,27.67,27.09,0.461,0.059,OK,0
RTE-0037,Recycling | Retail,71.96,68.42,0.297,0.0,OK,0
RTE-0038,Recycling | Restaurant & Food Service,75.89,74.57,0.36,0.0,OK,0
RTE-0039,General Waste | Industrial,51.0,48.24,0.413,0.0,OK,0
RTE-0040,General Waste | Retail,26.72,27.09,0.533,0.086,OK,0
RTE-0042,Cardboard | Retail,73.42,75.31,0.671,0.0,OK,0
RTE-0043,Recycling | Retail,66.86,68.42,0.565,0.0,OK,0
RTE-0044,General Waste | Industrial,54.79,48.24,0.264,0.0,OK,0
RTE-0045,General Waste | Restaurant & Food Service,53.53,43.55,0.083,0.0,OK,0
RTE-0046,General Waste | Industrial,60.04,48.24,0.143,0.0,OK,0
RTE-0047,Organics | Office & Commercial,20.39,19.02,0.462,0.115,OK,0
RTE-0048,General Waste | Retail,31.93,27.09,0.415,0.038,OK,0
RTE-0049,Cardboard | Healthcare,83.65,83.65,0.49,0.0,OK,0
RTE-0050,General Waste | Industrial,47.56,48.24,0.54,0.0,OK,0
RTE-0051,Recycling | Retail,73.15,68.42,0.312,0.0,OK,0
